ticker,close_price,sector,target_price,opinion_score,opinion_text,tp_divergence,opinion_score_norm,snapshot_date,tp_divergence_sector_pct,tp_divergence_mkt_pct,target_price_score,target_price_bucket
005930,329000.0,전기·전자,427917.0,4.04,매수,0.3006595744680851,0.76,2026-06-09,0.1826086956521739,0.15048543689320387,0.384695652173913,deep_value
000660,2070000.0,전기·전자,2712083.0,4.0,매수,0.3101850241545894,0.75,2026-06-09,0.19130434782608696,0.156957928802589,0.3868478260869565,deep_value
005935,211000.0,전기·전자,427917.0,4.04,매수,1.028042654028436,0.76,2026-06-09,0.8347826086956521,0.8640776699029126,0.8086086956521739,deep_value
402340,1258000.0,기타금융,1291429.0,4.0,매수,0.02657313195548494,0.75,2026-06-09,0.0196078431372549,0.03559870550161812,0.27524509803921565,neutral
005380,700000.0,운송장비·부품,787308.0,4.0,매수,0.12472571428571433,0.75,2026-06-09,0.07142857142857142,0.05663430420711974,0.3089285714285714,neutral
009150,1757000.0,전기·전자,1679600.0,4.0,매수,-0.04405236198064888,0.75,2026-06-09,0.034782608695652174,0.025889967637540454,0.2851086956521739,rich
373220,414000.0,전기·전자,576565.0,3.96,매수,0.3926690821256038,0.74,2026-06-09,0.26956521739130435,0.25080906148867316,0.43421739130434783,deep_value
032830,412500.0,보험,361700.0,3.6,매수,-0.12315151515151512,0.65,2026-06-09,0.2,0.012944983818770227,0.3575,expensive
028260,460500.0,유통,475769.0,4.0,매수,0.03315743756786094,0.75,2026-06-09,0.12121212121212122,0.038834951456310676,0.34128787878787875,neutral
329180,664000.0,운송장비·부품,916600.0,4.0,매수,0.38042168674698784,0.75,2026-06-09,0.21428571428571427,0.23300970873786409,0.40178571428571425,deep_value
012330,697000.0,운송장비·부품,744000.0,4.0,매수,0.06743185078909608,0.75,2026-06-09,0.03571428571428571,0.04854368932038835,0.2857142857142857,neutral
000270,161100.0,운송장비·부품,227400.0,4.0,매수,0.4115456238361266,0.75,2026-06-09,0.2857142857142857,0.2750809061488673,0.4482142857142857,deep_value
